N-1,精霊式,攻撃,-,na_14_honoka_o_n_1.png,O
N-2,桜吹雪,攻撃,-,na_14_honoka_o_n_2_s5.png,O
N-3,義旗共振,攻撃,全力,na_14_honoka_o_n_3.png,O
N-4,桜の翅,行動,-,na_14_honoka_o_n_4.png,O
N-5,桜花のお守り,行動,対応,na_14_honoka_o_n_5.png,O
N-6,指揮,付与,-,na_14_honoka_o_n_6_s4.png,O
N-7,追い風,付与,-,na_14_honoka_o_n_7.png,O
S-1,胸に想いを,行動,-,na_14_honoka_o_s_1.png,O
S-2,この旗の名の下に,攻撃,-,na_14_honoka_o_s_2.png,O
S-3,四季はまた廻り来る,行動,対応,na_14_honoka_o_s_3_s4.png,O
S-4,満天の花道で,付与,-,na_14_honoka_o_s_4.png,O
N-1,桜の双剣,攻撃,-,na_14_honoka_a1_n_1.png,A-1
S-1,ひとり目覚めて,行動,-,na_14_honoka_a1_s_1_s7.png,A-1
